[INFO ] [2021-04-21 08:11:29,133] Open Amazon page
[INFO ] [2021-04-21 08:11:40,628] Open Books department
[INFO ] [2021-04-21 08:11:41,121] Input apple value to search text box
[INFO ] [2021-04-21 08:11:41,661] Click on Search button
[INFO ] [2021-04-21 08:11:44,812] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 08:11:48,787] Sort by Publication Date
[INFO ] [2021-04-21 08:11:49,106] Verify Publication Date sort
[INFO ] [2021-04-21 08:11:50,496]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-04-21 08:12:52,112] Open Amazon page
[INFO ] [2021-04-21 08:13:01,162] Open Books department
[INFO ] [2021-04-21 08:13:01,395] Input apple value to search text box
[INFO ] [2021-04-21 08:13:01,679] Click on Search button
[INFO ] [2021-04-21 08:13:06,499] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 08:13:09,883] Sort by Publication Date
[INFO ] [2021-04-21 08:13:10,208] Verify Publication Date sort
[INFO ] [2021-04-21 08:31:11,877] Open Amazon page
[INFO ] [2021-04-21 08:31:21,466] Open Books department
[INFO ] [2021-04-21 08:31:21,907] Input apple value to search text box
[INFO ] [2021-04-21 08:31:22,236] Click on Search button
[INFO ] [2021-04-21 08:31:25,646] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 08:31:28,825] Sort by Publication Date
[INFO ] [2021-04-21 08:37:07,732] Open Amazon page
[INFO ] [2021-04-21 08:37:16,447] Open Books department
[INFO ] [2021-04-21 08:37:16,882] Input apple value to search text box
[INFO ] [2021-04-21 08:37:17,203] Click on Search button
[INFO ] [2021-04-21 08:37:20,847] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 08:37:24,193] Sort by Publication Date
[INFO ] [2021-04-21 08:48:11,581] Open Amazon page
[INFO ] [2021-04-21 08:48:20,597] Open Books department
[INFO ] [2021-04-21 08:48:20,947] Input apple value to search text box
[INFO ] [2021-04-21 08:48:21,249] Click on Search button
[INFO ] [2021-04-21 08:48:25,546] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 08:48:29,886] Sort by Publication Date
[INFO ] [2021-04-21 08:52:38,843] Open Amazon page
[INFO ] [2021-04-21 08:52:47,684] Open Books department
[INFO ] [2021-04-21 08:52:47,929] Input apple value to search text box
[INFO ] [2021-04-21 08:52:48,221] Click on Search button
[INFO ] [2021-04-21 08:52:52,583] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 08:52:56,929] Sort by Publication Date
[INFO ] [2021-04-21 08:54:37,591] Open Amazon page
[INFO ] [2021-04-21 08:54:46,771] Open Books department
[INFO ] [2021-04-21 08:54:47,213] Input apple value to search text box
[INFO ] [2021-04-21 08:54:47,512] Click on Search button
[INFO ] [2021-04-21 08:54:52,497] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 08:54:56,446] Sort by Publication Date
[INFO ] [2021-04-21 08:55:28,173] Verify Publication Date sort
[INFO ] [2021-04-21 09:16:14,816] Open Amazon page
[INFO ] [2021-04-21 09:16:24,374] Open Books department
[INFO ] [2021-04-21 09:16:25,337] Input apple value to search text box
[INFO ] [2021-04-21 09:16:25,932] Click on Search button
[INFO ] [2021-04-21 09:16:29,578] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 09:16:32,881] Sort by Publication Date
[INFO ] [2021-04-21 09:17:27,456] Open Amazon page
[INFO ] [2021-04-21 09:17:36,973] Open Books department
[INFO ] [2021-04-21 09:17:37,255] Input apple value to search text box
[INFO ] [2021-04-21 09:17:37,593] Click on Search button
[INFO ] [2021-04-21 09:17:40,353] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 09:17:43,601] Sort by Publication Date
[INFO ] [2021-04-21 09:41:28,506] Open Amazon page
[INFO ] [2021-04-21 09:41:41,654] Open Books department
[INFO ] [2021-04-21 09:41:41,934] Input apple value to search text box
[INFO ] [2021-04-21 09:41:42,531] Click on Search button
[INFO ] [2021-04-21 09:41:47,891] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 09:41:51,913] Click on English Language and verify English checkbox checked
[INFO ] [2021-04-21 09:41:51,914] Sort by Publication Date
[INFO ] [2021-04-21 10:04:32,162] Open Amazon page
[INFO ] [2021-04-21 10:04:41,599] Open Books department
[INFO ] [2021-04-21 10:04:42,195] Input apple value to search text box
[INFO ] [2021-04-21 10:04:42,663] Click on Search button
[INFO ] [2021-04-21 10:04:47,130] Click on English Language and verify Englist checkbox checked
[INFO ] [2021-04-21 10:04:51,087] Sort by Publication Date
